Cod, Nombre,                       Recorr,   6,   7,   8,   9,  10,  11,  12,  13
BAR, Bellas Artes,                   0:42, 360, 240, 210, 192, 135, 135, 120,  90
CHT, Chacaito,                       0:36, 360, 240, 150, 180, 105,  20,  45,  98
BRT, Baruta,                         0:22, 135, 135,  75,  45,  95,  65, 105,  60
MCD, Las Mecedes,                    0:29,  20,   0,   0,   0,   0,   0,   0,   0
CON, Concresa,                       0:18,  25,  13,   3,   0,   0,   0,   0,   0
PAZ, La Paz,                         0:48, 165,   7,  55,  75,   6,   0,   0,   0
TEQ, Los Teques,                     1:20, 177,  35,   0,   5,   0,   0,   0,   0
SAN, San Antonio,                    1:05, 105,   0,   5,   0,   0,   0,   0,   0
LIT, Litoral,                        1:52,  87,  27,   0,   0,   0,   0,   0,   0
CLM, Catia la Mar,                   1:05,  66,   0,   0,   0,   0,   0,   0,   0
MYC, Maracay,                        1:36, 222,   0,   0,   0,   0,   0,   0,   0
GUA, Guarenas/Guatire,               1:05, 138,   7,   0,   5,   0,   0,   0,   0
VAL, El Valle,                       0:24,  55,   3,   2,   1,   0,   0,   0,   0
CAT, Catia,                          0:30,  17,  27,   0,   3,   0,   0,   0,   0
CRC, Caricuao,                       0:45,  40,   0,   0,   0,   0,   0,   0,   0
CUA, Cua,                            0:57,  34,   0,   0,   0,   0,   0,   0,   0
HDP, Hoyo de la Puerta,              0:20,  24,   7,   2,   0,   0,   0,   0,   0
OCT, Ocumare del Tuy,                0:58,  25,   0,   0,   0,   0,   0,   0,   0
CLL, Charallave,                     0:38, 154,  73,   0,   0,   0,   0,   0,   0
CAF, Cafetal/Las Minas,              0:40,  55,  10,  13,   5,   0,   1,   0,   0
